category,name,glycemic_index,glycemic_load,calories (kcal),proteins (g),carbohydrates (g),fats (g)
Vegetables,Cauliflower,15.0,0.8,25.0,2.0,5.3,0.1
Vegetables,Fried potato,95.0,19.1,149.0,2.8,20.1,7.0
Vegetables,Mashed potatoes,83.0,11.4,72.0,1.7,13.7,1.2
Vegetables,Kohlrabi,20.0,2.1,42.0,2.8,10.6,0.0
Vegetables,Pickled Cucumber,15.0,0.7,18.0,0.0,4.6,0.0
Vegetables,Black olives,15.0,4.8,361.0,2.2,32.0,8.7
Vegetables,Carrot (cooked),85.0,4.3,25.0,0.8,5.0,0.3
Vegetables,Carrot (fresh),30.0,2.0,31.0,0.9,6.8,0.2
Vegetables,Canned vegetables (factory),65.0,3.4,77.0,3.2,5.2,2.8
Vegetables,Cucumber,15.0,0.4,15.0,0.8,2.8,0.1
Vegetables,Dill pickles,15.0,0.2,16.0,2.8,1.3,0.0
Vegetables,Olives,15.0,0.9,115.0,0.8,6.3,10.7
Vegetables,Parsnip,85.0,15.3,75.0,1.2,18.0,0.3
Vegetables,Chinese cabbage,20.0,0.4,12.0,1.1,2.2,0.2
Vegetables,Sweet pepper,15.0,0.8,27.0,1.3,5.3,0.0
Vegetables,Chilli,15.0,1.4,40.0,2.0,9.5,0.2
Vegetables,Chilli Green (Fresh),15.0,1.2,40.0,2.0,8.0,0.2
Vegetables,Tomatoes (fresh),30.0,1.1,24.0,1.1,3.8,0.2
Vegetables,Ratatouille,20.0,1.0,38.0,0.9,5.0,1.6
Vegetables,Rhubarb,15.0,0.4,13.0,0.7,2.5,0.1
Vegetables,Radish,15.0,0.5,20.0,1.2,3.4,0.1
Vegetables,"Turnip (cooked, boiled)",85.0,3.9,26.0,1.7,4.6,0.2
Vegetables,Turnip (raw),30.0,1.9,30.0,1.5,6.2,0.1
Vegetables,Beets (Boiled),65.0,7.0,49.0,1.8,10.8,0.0
Vegetables,Beetroot (fresh),30.0,2.6,43.0,1.5,8.8,0.1
Vegetables,Scorzonera (Kozelec),30.0,0.3,17.0,1.0,1.0,1.0
Vegetables,"Sweet pepper (red, green), paprika",15.0,1.0,33.0,1.3,6.9,0.0
Vegetables,Salted cucumbers,15.0,0.3,11.0,0.3,2.3,0.2
Vegetables,Tomatoes,30.0,1.1,24.0,1.1,3.8,0.2
Vegetables,Tomatoes (dried),35.0,10.2,170.0,6.3,29.0,4.3
Vegetables,Jerusalem artichoke (fresh),50.0,6.4,61.0,2.1,12.8,0.1
Vegetables,"Turnip, turnip (fresh)",30.0,1.8,28.0,1.0,6.0,0.0
Vegetables,Pumpkin,65.0,4.5,26.0,1.0,7.0,0.1
Vegetables,Pumpkin (boiled),75.0,5.3,26.0,1.0,7.0,0.1
Vegetables,Cauliflower (fresh),15.0,0.8,30.0,2.5,5.4,0.3
Vegetables,Braised Cauliflower,15.0,0.0,29.0,1.8,0.3,4.0
Vegetables,Zucchini,15.0,0.5,17.0,1.2,3.1,0.3
Vegetables,"Chayote (Mexican cucumber), mashed from it",50.0,2.3,19.0,0.8,4.5,0.1
Sweets,Peanut Butter (Sugar Free),25.0,7.0,567.0,26.0,28.0,49.0
Sweets,"Muesli Bar, Gluten Free",50.0,37.1,285.0,2.9,74.3,0.0
Sweets,White chocolate,44.0,26.0,539.0,5.9,59.2,31.1
